Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
478,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,5160,5022,0.0275
479,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,5124,3972,0.29
480,AL,AK,WLK,Selawik,Selawik,CS,None,5094,5260,-0.0316
481,AL,AK,WTK,Noatak,Noatak,CS,None,4984,4716,0.0568
483,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,4805,5735,-0.1622
484,SW,NM,CVN,Clovis,Clovis Municipal,CS,None,4783,5053,-0.0534
485,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,4775,2654,0.7992
487,AL,AK,BVK,Buckland,Buckland,CS,None,4694,4456,0.0534
488,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,4584,4444,0.0315
489,CE,NE,EAR,Kearney,Kearney Regional,CS,None,4568,4607,-0.0085
490,AL,AK,PHO,Point Hope,Point Hope,CS,None,4515,4964,-0.0905
491,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,4463,4852,-0.0802
492,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4417,4093,0.0792
493,GL,MI,YIP,Detroit,Willow Run,CS,None,4407,2938,0.5
494,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,4381,3594,0.219
495,AL,AK,SOV,Seldovia,Seldovia,CS,None,4315,4206,0.0259
496,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,4296,3614,0.1887
497,AL,AK,OOK,Wade Hampton (Census Area),Toksook Bay,CS,None,4294,4777,-0.1011
498,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,4273,3049,0.4014
499,NM,MT,GGW,Glasgow,Wokal Field/Glasgow-Valley County,CS,None,4201,3517,0.1945
500,EA,PA,BFD,Bradford,Bradford Regional,CS,None,4197,3897,0.077
502,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,4104,3806,0.0783
504,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,4068,4407,-0.0769
505,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,4042,4917,-0.178
506,AL,AK,CFK,Chefornak,Chefornak,CS,None,4002,4027,-0.0062
507,AL,AK,SVA,Savoonga,Savoonga,CS,None,3926,4188,-0.0626
509,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,3851,3804,0.0124
510,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,3831,1003,2.8195
511,AL,AK,WBB,Stebbins,Stebbins,CS,None,3798,2687,0.4135
512,AL,AK,AWI,Barrow (County),Wainwright,CS,None,3761,3756,0.0013
514,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3718,3485,0.0669
515,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3712,3589,0.0343
516,AL,AK,2A9,Kotlik,Kotlik,CS,None,3709,3612,0.0269
517,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,3685,2948,0.25
518,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,3655,1475,1.478
519,AL,AK,SDP,Sand Point,Sand Point,CS,None,3636,3998,-0.0905
520,AL,AK,GAM,Gambell,Gambell,CS,None,3610,3493,0.0335
521,AL,AK,KVL,Kivalina,Kivalina,CS,None,3580,3454,0.0365
522,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,3443,3096,0.1121
523,AL,AK,KLG,Kalskag,Kalskag,CS,None,3425,2915,0.175
524,AL,AK,EEK,Eek,Eek,CS,None,3382,2839,0.1913
525,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3369,3856,-0.1263
526,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,3350,3360,-0.003
528,SO,AL,TCL,Tuscaloosa,Tuscaloosa Regional,CS,None,3336,2388,0.397
529,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3320,3341,-0.0063
530,AL,AK,KAE,Kake,Kake,CS,None,3309,3087,0.0719
531,AL,AK,Z13,Akiachak,Akiachak,CS,None,3308,2556,0.2942
532,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,None,3262,1894,0.7223
533,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,3256,5598,-0.4184
